Species,Common name,Review ID,Zotero ID,Method,Site ID,Longitude,Latitude,Radius,Site Location,Sampling,#IDs,#routes,#conns,Years,Months start,Months end,Months sampled,Activities,Comments,,,,,,
RHTY,Whale Shark,I3HB3KHW_Tyminski_etal_2015_Rhty,I3HB3KHW,T,C,-89.2962,28.5589,5,Northern Gulf of Mexico,POP-UP SATELLITE ARCHIVAL (PSAT),3,2,,2010,(UNK),AUG,,FEE,,,,,,,
RHTY,Whale Shark,I3HB3KHW_Tyminski_etal_2015_Rhty,I3HB3KHW,T,D,-38.2973,-15.917,5,Central Brazil Coast,POP-UP SATELLITE ARCHIVAL (PSAT),2,1,,2007; 2008,(UNK),JAN,,FEE,,,,,,,
RHTY,Whale Shark,N4S7FB3H_Eckert_etal_2002_Rhty,N4S7FB3H,T,A,123.5425,12.9276,1,Donsol,SATELLITE TAG (ARGOS),2,,,1998,FEB,MAR,,OBS,,,,,,,
RHTY,Whale Shark,N4S7FB3H_Eckert_etal_2002_Rhty,N4S7FB3H,T,B,124.7838,8.8601,1,Salay,SATELLITE TAG (ARGOS),3,1,,1998,FEB,FEB; (UNK),,OBS,,,,,,,
RHTY,Whale Shark,N4S7FB3H_Eckert_etal_2002_Rhty,N4S7FB3H,T,C,116.3301,6.4005,1,Usukan Island,SATELLITE TAG (ARGOS),4,,,1998,FEB,FEB; JUN,,OBS,,,,,,,
RHTY,Whale Shark,N4S7FB3H_Eckert_etal_2002_Rhty,N4S7FB3H,T,D,110.3075,12.2385,5,South China Sea near Vietnam,SATELLITE TAG (ARGOS),2,1,,1998,(UNK),MAY,,OBS,,,,,,,
RHTY,Whale Shark,NVZ99VRP_Graham_etal_2006_Rhty,NVZ99VRP,T,A,-87.95,16.5,1,"Gladden Spit Marine Reserve, Belize (16.5 N, -87.95 W)",PSAT,10,,,2000; 2001,MAR; APR; (UNK),MAY; JUN; JUL; OCT; DEC; (UNK),,FEE,,,,,,,
RHTY,Whale Shark,QD6PTHCF_Meekan_etal_2015_Rhty,QD6PTHCF,T,A,113.9853,-21.9128,1,"Point Cloates at Ningaloo Reef (-21.9128, 113.9853)",GPS,3,,,2009,APR,(UNK),,OBS,,,,,,,
RHTY,Whale Shark,QD6PTHCF_Meekan_etal_2015_Rhty,QD6PTHCF,T,B,105.95,-10.483,1,"Christmas Island (-10.483, 105.95)",Argos,2,,,2008,JAN,APR,,OBS,,,,,,,
RHTY,Whale Shark,R7Q2VWKJ_Berumen_etal_2014_Rhty,R7Q2VWKJ,T,A,40.2623,20.1175,5,"Al-Lith, Saudia Arabia",POP-UP SATELLITE ARCHIVAL (PSAT); SATELLITE TAG (ARGOS),60,3,,2009; 2010; 2011,MAR; APR; MAY; JUN,JAN; FEB; MAR; APR; MAY; JUN; JUL; AUG; SEP; OCT; NOV; DEC; (UNK),,FEE,,,,,,,
RHTY,Whale Shark,R7Q2VWKJ_Berumen_etal_2014_Rhty,R7Q2VWKJ,T,B,34.2818,27.8517,5,"Sharm el-Sheikh, Egypt",POP-UP SATELLITE ARCHIVAL (PSAT); SATELLITE TAG (ARGOS),4,1,,2010,(UNK),JUL; OCT,,OBS,,,,,,,
RHTY,Whale Shark,R7Q2VWKJ_Berumen_etal_2014_Rhty,R7Q2VWKJ,T,C,47.9144,12.5267,5,Gulf of Aden,SATELLITE TAG (ARGOS),4,1,,2010,AUG; (UNK),SEP; OCT,,OBS,,,,,,,
RHTY,Whale Shark,R7Q2VWKJ_Berumen_etal_2014_Rhty,R7Q2VWKJ,T,D,73.6757,4.0646,5,Northern Indian Ocean,POP-UP SATELLITE ARCHIVAL (PSAT); SATELLITE TAG (ARGOS),3,1,,2010,(UNK),JUL; SEP,,OBS,,,,,,,
RHTY,Whale Shark,W47KAQ3Z_Wang_etal_2012_Rhty,W47KAQ3Z,T,A,109.3467,18.2275,1,"Sanya, Hainan, China",POP-UP SATELLITE ARCHIVAL (PSAT),2,1,,2009,JUN,(UNK),,OBS,,,,,,,
RHTY,Whale Shark,W47KAQ3Z_Wang_etal_2012_Rhty,W47KAQ3Z,T,B,111.6,13.57,1,"East coast of Vietnam (13.57N, 111.6E)",POP-UP SATELLITE ARCHIVAL (PSAT),2,1,,2009,(UNK),SEP,,OBS,,,,,,,
SPLE,Scalloped Hammerhead,2BMQBMR7_HOLLAND_etal_1993_Sple,2BMQBMR7,T,A,-157.81,21.46,1,"Kaneohe Bay, Oahu, Hawaii",ACOUSTIC/SONIC TAG (TELEMETRY),7,,,1990,JUL; (UNK),JUL; (UNK),,FEE; OBS,,,,,,,
SPLE,Scalloped Hammerhead,33VZ4QVN_Eddy_etal_2016_Sple,33VZ4QVN,T,A,-101.5,1.5,5,"Eastern Pacific (0?€?5N, 93?€?104W)",PSAT,4,,,2012,APR,APR,,OBS,,,,,,,
SPLE,Scalloped Hammerhead,8E8WHRC3_Bessudo_etal_2011_Sple,8E8WHRC3,MR,A,-81.617,3.967,1,"Malpelo Island, Columbia (3.967, -81.617)",ACOUSTIC/SONIC TAG (MARK-RECAP),70,,1,2006; 2007; 2008; 2009,MAR,(UNK),,FEE; HOM; OBS,,,,,,,
SPLE,Scalloped Hammerhead,8E8WHRC3_Bessudo_etal_2011_Sple,8E8WHRC3,MR,B,-87.04,5.49,1,"Cocos Island, Costa Rica",ACOUSTIC/SONIC TAG (MARK-RECAP),6,,2,2006; 2007; 2008; 2009,APR; (UNK),(UNK),,OBS,,,,,,,
SPLE,Scalloped Hammerhead,8E8WHRC3_Bessudo_etal_2011_Sple,8E8WHRC3,MR,C,-90.71,-0.55,1,"Galapagos, Ecuador",ACOUSTIC/SONIC TAG (MARK-RECAP),2,,1,2008; 2009,MAY,MAR,,OBS,,,,,,,
SPLE,Scalloped Hammerhead,EK69IG69_HOLLAND_etal_1992_Sple,EK69IG69,T,A,-157.81,21.46,1,"Kaneohe Bay, Oahu, Hawaii",ACOUSTIC/SONIC TAG (TELEMETRY),4,,,,(UNK),(UNK),,OBS,,,,,,,
SPLE,Scalloped Hammerhead,KHCVB346_Jorgensen_etal_2009_Sple,KHCVB346,T,A,-110.267,24.683,1,"El Bajo Espiritu Santo Seamount, Gulf of California (24.683, -110.267)",POP-UP SATELLITE ARCHIVAL (PSAT),2,,,2004,FEB,APR,,OBS,,,,,,,
SPLE,Scalloped Hammerhead,M5GUNMIQ_Ketchum_etal_2014_Sple,M5GUNMIQ,MR,A,-90.71,-0.55,1,Galapagos Marine reserve,ACOUSTIC/SONIC TAG (MARK-RECAP),135,,3,2006; 2007; 2008; 2010,JAN; FEB; MAR; APR; MAY; JUN; JUL; AUG; SEP; OCT; NOV; DEC; (UNK),(UNK),,FEE,,,,,,,
SPLE,Scalloped Hammerhead,M5GUNMIQ_Ketchum_etal_2014_Sple,M5GUNMIQ,MR,B,-81.617,3.967,1,"Malpelo, Colombia",ACOUSTIC/SONIC TAG (MARK-RECAP),2,,2,2008; 2009,MAR,MAR,,OBS,,,,,,,
SPLE,Scalloped Hammerhead,M5GUNMIQ_Ketchum_etal_2014_Sple,M5GUNMIQ,MR,C,-87.04,5.49,1,"Cocos Island, Costa Rica",ACOUSTIC/SONIC TAG (MARK-RECAP),5,,3,2007; 2008,MAR; APR; (UNK),(UNK),,OBS,,,,,,,
SPLE,Scalloped Hammerhead,MRZW35RQ_Queiroz_etal_2016_Sple,MRZW35RQ,T,A,-80.05,27.14,5,South Florida,Argos,3,,,2010; 2011,MAR; APR,APR; JUL,,OBS,,,,,,,
SPLE,Scalloped Hammerhead,TPS7W9JQ_Bessudo_etal_2011_Sple,TPS7W9JQ,T,A,-81.60833,4,1,"Malpelo Island (4.00 N, -81.60833 W)",ARGOS; PSAT,10,,,2006; 2008,MAR,MAR; JUL,,OBS,,,,,,,
SPLE,Scalloped Hammerhead,TPS7W9JQ_Bessudo_etal_2011_Sple,TPS7W9JQ,T,B,-87.06667,5.51667,1,"Cocos Island (5.51667 N, -87.06667 W)",ARGOS; PSAT,4,,,2008,JUN,JUN,,OBS,,,,,,,
SPLE,Scalloped Hammerhead,TXWPIE9D_Hoffmayer_etal_2013_Sple,TXWPIE9D,T,A,-89.454,28.392,1,"Near Mississippi Canyon (28.392 N, 89.454 W)",POP-UP SATELLITE ARCHIVAL (PSAT),2,,,2008,JUN,JUN,,OBS,,,,,,,
SPLE,Scalloped Hammerhead,UTBXUGU7_Ketchum_etal_2014_Sple,UTBXUGU7,T,A,-91.82,1.38,1,"Wolf Island, Galapagos (1.38N, 91.82W)",ACOUSTIC/SONIC TAG (TELEMETRY),8,,,2007; 2008; 2009,FEB; MAR; AUG; NOV,FEB; MAR; AUG; NOV,,FEE; OBS,,,,,,,
SPLE,Scalloped Hammerhead,WMTGMBQA_KLIMLEY_1993_Sple,WMTGMBQA,T,A,-110.24,24.79,1,"Espiritu Santo Seamount, Gulf of California",ACOUSTIC/SONIC TAG (TELEMETRY),6,,,1981; 1986; 1988; 1989,JUL; AUG,JUL; AUG,,FEE; HOM,,,,,,,
SPLE,Scalloped Hammerhead,X44JQ338_Lowe_2002_Sple,X44JQ338,T,A,-157.81,21.46,1,"Kane'ohe Bay, O'ahu, Hawaii",ACOUSTIC/SONIC TAG (TELEMETRY),6,,,1996; 1997,AUG; SEP; OCT; DEC,AUG; SEP; OCT; DEC,,OBS,,,,,,,
SPMO,Great Hammerhead,3EJJ7G5S_Hammerschlag_etal_2011_Spmo,3EJJ7G5S,T,A,-80.85,24.69,1,"Middle Florida Keys (24.69 N, 80.85 W)",SATELLITE TAG (ARGOS),2,1,,2010,FEB,(UNK),,FEE,,,,,,,
SPMO,Great Hammerhead,3EJJ7G5S_Hammerschlag_etal_2011_Spmo,3EJJ7G5S,T,B,-69.31,38.15,1,"Northwest Atlantic (38.15 N, 69.31 W)",SATELLITE TAG (ARGOS),2,1,,2010,APR,APR,,FEE,,,,,,,
SQAC,Spiny Dogfish,HNXPEGIM_Sulikowski_etal_2010_Sqac,HNXPEGIM,T,A,-70.17,43.4,1,"Gulf of Maine (43.4, -70.17)",POP-UP SATELLITE ARCHIVAL (PSAT),4,1,,2007,OCT; NOV,OCT; NOV,,OBS,,,,,,,
SQAC,Spiny Dogfish,HNXPEGIM_Sulikowski_etal_2010_Sqac,HNXPEGIM,T,B,-64,40,5,east off Gulf of Maine offshore,POP-UP SATELLITE ARCHIVAL (PSAT),3,2,,2007; 2008,NOV; DEC,JAN; DEC,,OBS,,,,,,,
SQAC,Spiny Dogfish,HNXPEGIM_Sulikowski_etal_2010_Sqac,HNXPEGIM,T,C,-74.359572,38.402729,1,"southern waters off the coast of New Jersey, USA",POP-UP SATELLITE ARCHIVAL (PSAT),2,1,,2007; 2008,JAN; APR,JAN; MAY,,OBS,,,,,,,
SPMO,Great Hammerhead,ECXGQF8J_Graham_etal_2016_Spmo,ECXGQF8J,T,A,-81.5,24.5,1,Florida Keys,Argos,19,2,,2010; 2011; 2012; 2013,JAN; FEB; MAR; APR; MAY; JUN; JUL; AUG,(UNK),,OBS,,,,,,,
SPMO,Great Hammerhead,ECXGQF8J_Graham_etal_2016_Spmo,ECXGQF8J,T,B,-85.38,29.3,1,Gulf of Mexico,Argos,,1,,2010; 2011; 2012; 2013,(UNK),(UNK),,OBS,,,,,,,
SPMO,Great Hammerhead,ECXGQF8J_Graham_etal_2016_Spmo,ECXGQF8J,T,C,-83.36,27.5,1,West Coast of Florida,Argos,,1,,2010; 2011; 2012; 2013,(UNK),(UNK),,OBS,,,,,,,
TEPF,Longbill Spearfish,DDPNF253_Kerstetter_etal_2009_Tepf,DDPNF253,T,A,-14.3,-7.9,1,"Ascension Island (-7.9S, -14.3W); (GR; -7.9S, -14.3W, 1 deg radius)",POP-UP SATELLITE ARCHIVAL (PSAT),3,,,2004; 2005,OCT; NOV,JAN; OCT,,OBS,,,,,,,
THAB,Yellowfin Tuna,CWM2584D_Brill_etal_1999_Thab,CWM2584D,T,A,-155.9259,19.4782,1,"Kealakekua Bay (19.4782, -155.9259)",GPS,5,,,1995,AUG,AUG,,FEE,,,,,,,
THAB,Yellowfin Tuna,DKBPKQ4C_Block_etal_1997_Thab,DKBPKQ4C,T,A,-118.893,31.334,1,"California Bight (31.334, -118.893)",GPS,3,,,1994,SEP; OCT,OCT,,FEE,,,,,,,
THAB,Yellowfin Tuna,PHE4MSR4_Madigan_etal_2015_Thab,PHE4MSR4,T,A,-118.7,30.6,5,California Current Large Marine Ecosystem,POP-UP SATELLITE ARCHIVAL (PSAT),31,,,2002; 2003; 2004; 2005; 2006; 2007; 2008; 2009,(UNK),(UNK),,FEE,,,,,,,
THAB,Yellowfin Tuna,QDBJAIGH_Weng_etal_2013_Thab,QDBJAIGH,T,A,120.370167,22.201,1,"Southwestern Taiwan (22.201000, 120.370167)",ACOUSTIC/SONIC TAG (TELEMETRY),53,,,2008; 2009,FEB; APR; OCT; DEC,FEB; MAR; APR; OCT; DEC; (UNK),,FEE,,,,,,,
THAB,Yellowfin Tuna,RAA3QZ2T_Hoolihan_etal_2014_Thab,RAA3QZ2T,T,A,-89.75,28.65,1,"Northern Gulf of Mexico (28.6500, -89.7500)",POP-UP SATELLITE ARCHIVAL (PSAT),31,3,,2008; 2009; 2010; 2011,MAY; JUL; AUG; NOV,MAR; MAY; JUN; JUL; AUG; SEP; OCT; NOV; DEC,,FEE,,,,,,,
THAB,Yellowfin Tuna,RAA3QZ2T_Hoolihan_etal_2014_Thab,RAA3QZ2T,T,B,-94.983333,27.566667,1,"Western Gulf of Mexico (27.566667, -94.983333)",POP-UP SATELLITE ARCHIVAL (PSAT),1,1,,2010,AUG,NOV,,MIG,,,,,,,
THAB,Yellowfin Tuna,RAA3QZ2T_Hoolihan_etal_2014_Thab,RAA3QZ2T,T,C,-85.916667,18.7,1,"Caribbean - SE of Yucatan Peninsula (18.700000, -85.916667)",POP-UP SATELLITE ARCHIVAL (PSAT),1,1,,2010,AUG,NOV,,MIG,,,,,,,
THAB,Yellowfin Tuna,RAA3QZ2T_Hoolihan_etal_2014_Thab,RAA3QZ2T,T,D,-86.266667,25,1,"Eastern Gulf of Mexico - Loop Current (25.000000, -86.266667)",POP-UP SATELLITE ARCHIVAL (PSAT),1,1,,2010,AUG,NOV,,MIG,,,,,,,
THAB,Yellowfin Tuna,TGZKE9B3_Hampton_and_Gunn_1998_Thab,TGZKE9B3,MR,A,149,-17,5,"Release area in NW Coral Sea (14 to 20 deg S, 145 to 153 deg E)",FLIPPER TAG,2905,,4,1991; 1992; 1993; 1994; 1995; 1996; 1997,OCT; NOV,OCT; NOV,,FEE,,,,,,,
THAB,Yellowfin Tuna,TGZKE9B3_Hampton_and_Gunn_1998_Thab,TGZKE9B3,MR,B,160,-15.5,5,Coral Sea,FLIPPER TAG,40,,1,1991; 1992; 1993; 1994; 1995; 1996; 1997,MAR; JUN; SEP; DEC,MAR; JUN; SEP; DEC,,FEE,,,,,,,
THAB,Yellowfin Tuna,TGZKE9B3_Hampton_and_Gunn_1998_Thab,TGZKE9B3,MR,C,165,-1,5,Equatorial Pacific (east of 170 deg W),FLIPPER TAG,2,,1,1991; 1992; 1993; 1994; 1995; 1996; 1997,MAR; JUN; SEP; DEC,MAR; JUN; SEP; DEC,,FEE,,,,,,,
THAB,Yellowfin Tuna,TGZKE9B3_Hampton_and_Gunn_1998_Thab,TGZKE9B3,MR,D,140.65,34.42,5,Japanese coastal waters,FLIPPER TAG,2,,1,1991; 1992; 1993; 1994; 1995; 1996; 1997,MAR; JUN; SEP; DEC,MAR; JUN; SEP; DEC,,FEE,,,,,,,
THAB,Yellowfin Tuna,TGZKE9B3_Hampton_and_Gunn_1998_Thab,TGZKE9B3,MR,E,157.03,-28.4,5,Southern Queensland and NSW,FLIPPER TAG,,,1,1991; 1992; 1993; 1994; 1995; 1996; 1997,MAR; JUN; SEP; DEC,MAR; JUN; SEP; DEC,,FEE,,,,,,,
THAB,Yellowfin Tuna,U2TPG9DD_Zudaire_etal_2015_Thab,U2TPG9DD,I,A,44,-15,5,Mozambique (-10.0000 - -20.0000),C; N,,,,2009; 2010,,,JAN; FEB; MAR; APR; MAY; JUN; JUL,FEE,,,,,,,
THAB,Yellowfin Tuna,U2TPG9DD_Zudaire_etal_2015_Thab,U2TPG9DD,I,B,58,-5,10,Seychelles (0.0000 - -10.0000),C; N,,,,2009; 2010,,,JAN; FEB; MAR; APR; MAY; JUN; JUL,FEE,,,,,,,
THAB,Yellowfin Tuna,U2TPG9DD_Zudaire_etal_2015_Thab,U2TPG9DD,I,C,58,-4,5,Somalia (10.0000 - 0.0000),C; N,,,,2009; 2010,,,JAN; FEB; MAR; APR; MAY; JUN; JUL,FEE,,,,,,,
THAB,Yellowfin Tuna,U62GEAKU_Matsumoto_etal_2013_Thab,U62GEAKU,T,A,126.3577,26.55,5,"East China Sea (26.5500, 126.3577)",POP-UP SATELLITE ARCHIVAL (PSAT),5,,,2001; 2002; 2003; 2004; 2008; 2009,APR; MAY; OCT; NOV,FEB; AUG; NOV; DEC,,FEE,,,,,,,
THAB,Yellowfin Tuna,URJ8W62B_Dagorn_etal_2000_Thab,URJ8W62B,T,A,-151.41,-16.72,5,Society Archipelago,Acoustic Telemetry,8,,,1985; 1992; 1993; 1995; 1996,MAR; APR; JUN; SEP; OCT; NOV,MAR; APR; JUN; SEP; OCT; NOV,,FEE,,,,,,,
THAB,Yellowfin Tuna,URJ8W62B_Dagorn_etal_2000_Thab,URJ8W62B,T,B,-139.65,-9.26,5,Marquesas Archipelago,Acoustic Telemetry,2,,,1993,JUL,JUL,,FEE,,,,,,,
THAB,Yellowfin Tuna,URJ8W62B_Dagorn_etal_2000_Thab,URJ8W62B,T,C,-144.52,-20.48,5,Tuamotu Archipelago,Acoustic Telemetry,1,,,1995,DEC,DEC,,FEE,,,,,,,
THAB,Yellowfin Tuna,VCRVF86N_Adam_etal_2003_Thab,VCRVF86N,MR,A,-162,23,1,"Buoy 1 (23.0000, -162.0000)",FLIPPER TAG,247,,,1995; 1996; 1997; 1998; 1999; 2000; 2001,(UNK),(UNK),,FEE,,,,,,,
THAB,Yellowfin Tuna,VCRVF86N_Adam_etal_2003_Thab,VCRVF86N,MR,B,-162,23,1,"Buoy 1 (23.0000, -162.0000)",FLIPPER TAG,20,,,1995; 1996; 1997; 1998; 1999; 2000; 2001,(UNK),(UNK),,FEE,,,,,,,
THAB,Yellowfin Tuna,VCRVF86N_Adam_etal_2003_Thab,VCRVF86N,MR,C,-158,17,1,"Buoy 2 (17.0000, -158.0000)",FLIPPER TAG,260,,,1995; 1996; 1997; 1998; 1999; 2000; 2001,(UNK),(UNK),,FEE,,,,,,,
THAB,Yellowfin Tuna,VCRVF86N_Adam_etal_2003_Thab,VCRVF86N,MR,D,-158,17,1,"Buoy 2 (17.0000, -158.0000)",FLIPPER TAG,41,,,1995; 1996; 1997; 1998; 1999; 2000; 2001,(UNK),(UNK),,FEE,,,,,,,
THAB,Yellowfin Tuna,VCRVF86N_Adam_etal_2003_Thab,VCRVF86N,MR,E,-160.5,19,1,"Buoy 3 (19.0000, -160.5000)",FLIPPER TAG,59,,,1995; 1996; 1997; 1998; 1999; 2000; 2001,(UNK),(UNK),,FEE,,,,,,,
THAB,Yellowfin Tuna,VCRVF86N_Adam_etal_2003_Thab,VCRVF86N,MR,F,-160.5,19,1,"Buoy 3 (19.0000, -160.5000)",FLIPPER TAG,9,,,1995; 1996; 1997; 1998; 1999; 2000; 2001,(UNK),(UNK),,FEE,,,,,,,
THAB,Yellowfin Tuna,VCRVF86N_Adam_etal_2003_Thab,VCRVF86N,MR,G,-158.266667,18.7,1,"Cross Seamount (18.700000, -158.266667)",FLIPPER TAG,3423,,,1995; 1996; 1997; 1998; 1999; 2000; 2001,(UNK),(UNK),,FEE,,,,,,,
THAB,Yellowfin Tuna,VCRVF86N_Adam_etal_2003_Thab,VCRVF86N,MR,H,-158.266667,18.7,1,"Cross Seamount (18.700000, -158.266667)",FLIPPER TAG,635,,,1995; 1996; 1997; 1998; 1999; 2000; 2001,(UNK),(UNK),,FEE,,,,,,,
THAB,Yellowfin Tuna,VCRVF86N_Adam_etal_2003_Thab,VCRVF86N,MR,I,-157.4,21,5,"Inshore areas (FADs) (19.0000 to 23.0000, -154.0000 to -161.0000)",FLIPPER TAG,1239,,,1995; 1996; 1997; 1998; 1999; 2000; 2001,(UNK),(UNK),,FEE,,,,,,,
THAB,Yellowfin Tuna,VCRVF86N_Adam_etal_2003_Thab,VCRVF86N,MR,J,-157.4,21,5,"Inshore areas (FADs) (19.0000 to 23.0000, -154.0000 to -161.0000)",FLIPPER TAG,254,,,1995; 1996; 1997; 1998; 1999; 2000; 2001,(UNK),(UNK),,FEE,,,,,,,
THAB,Yellowfin Tuna,VCRVF86N_Adam_etal_2003_Thab,VCRVF86N,MR,K,-159,20,10,"Other (14.0000 to 26.0000, -153.0000 to -165.0000, excluding other known sites)",FLIPPER TAG,12,,,1995; 1996; 1997; 1998; 1999; 2000; 2001,(UNK),(UNK),,FEE,,,,,,,
THAB,Yellowfin Tuna,58MF2BAU_Jones_1996_Thab,58MF2BAU,MR,A,-74.620582,34.992736,5,eastern U.S. coast,UNK (Mark-recapture),1137,,2,1990; 1991; 1992; 1994; 1995,APR; JUN; AUG; (UNK),APR; JUN; AUG; (UNK),,OBS,,,,,,,
THAB,Yellowfin Tuna,58MF2BAU_Jones_1996_Thab,58MF2BAU,MR,B,-77.935865,31.490783,5,waters between north Florida and the Carolinas,UNK (Mark-recapture),55,,3,1994; 1995,(UNK),(UNK),,OBS,,,,,,,
THAB,Yellowfin Tuna,58MF2BAU_Jones_1996_Thab,58MF2BAU,MR,C,-53,34,10,west central Atlantic Ocean,UNK (Mark-recapture),36,,1,1994; 1995,(UNK),(UNK),,OBS,Large wague location with no figures,,,,,,
THAB,Yellowfin Tuna,58MF2BAU_Jones_1996_Thab,58MF2BAU,MR,D,-90.622463,26.575409,5,offshore Louisiana,UNK (Mark-recapture),34,,,1994; 1995,(UNK),(UNK),,OBS,,,,,,,
THAB,Yellowfin Tuna,58MF2BAU_Jones_1996_Thab,58MF2BAU,MR,E,-10,1,5,equitorial Atlantic off west Africa and off the coast of west Africa,UNK (Mark-recapture),34,,1,1994; 1995,MAR; APR,MAR; APR,,OBS,,,,,,,
THAB,Yellowfin Tuna,58MF2BAU_Jones_1996_Thab,58MF2BAU,MR,F,-80.28194,24.72672,1,Florida Panhandle,UNK (Mark-recapture),1,,1,1993,JUL,JUL,,OBS,,,,,,,
THAB,Yellowfin Tuna,58MF2BAU_Jones_1996_Thab,58MF2BAU,MR,G,-1.5,-2,5,"Gulf of Guinea, West Africa",UNK (Mark-recapture),1,,1,1995,MAR,MAR,,OBS,,,,,,,
THAB,Yellowfin Tuna,58MF2BAU_Jones_1996_Thab,58MF2BAU,MR,H,-64.871793,32.386136,1,Bermuda waters,UNK (Mark-recapture),3,,,1994; 1995,(UNK),(UNK),,OBS,,,,,,,
THAB,Yellowfin Tuna,58MF2BAU_Jones_1996_Thab,58MF2BAU,MR,I,-78.313786,25.364173,1,northern Bahamas,UNK (Mark-recapture),1,,1,1994; 1995,(UNK),(UNK),,OBS,,,,,,,
THAB,Yellowfin Tuna,58MF2BAU_Jones_1996_Thab,58MF2BAU,MR,J,-79.14,26.6,5,southeast Florida waters,UNK (Mark-recapture),1,,1,1994; 1995,(UNK),(UNK),,OBS,,,,,,,
THAB,Yellowfin Tuna,58MF2BAU_Jones_1996_Thab,58MF2BAU,MR,K,-2.983985,43.849708,1,Bay of Biscay,UNK (Mark-recapture),1,,1,1991,FEB,FEB,,OBS,,,,,,,
THAB,Yellowfin Tuna,FU9MTDD3_Luckhurst_2007_Thab,FU9MTDD3,MR,A,-64.871793,32.386136,1,Bermuda,UNK (mark-recapture),574,,2,,MAY; JUN; JUL; (UNK),JUN; JUL; (UNK),,MIG; OBS,,,,,,,
THAB,Yellowfin Tuna,FU9MTDD3_Luckhurst_2007_Thab,FU9MTDD3,MR,B,-66.502666,17.932434,1,Puerto Rico,UNK (mark-recapture),2,,1,,(UNK),(UNK),,OBS,,,,,,,
THAB,Yellowfin Tuna,FU9MTDD3_Luckhurst_2007_Thab,FU9MTDD3,MR,C,-74.3,36,1,Cape Hatteras,UNK (mark-recapture),1,,1,,(UNK),(UNK),,OBS,,,,,,,
THAL,Albacore Tuna,5EEWGGCZ_Cosgrove_etal_2014_THAL,5EEWGGCZ,T,A,-10.5,46.5,10,Bay of Biscay (northwest and south),PSAT,11,2,,2008; 2009; 2010; 2011,AUG; SEP; OCT; (UNK),AUG; SEP; OCT; (UNK),,OBS,,,,,,,
THAL,Albacore Tuna,5EEWGGCZ_Cosgrove_etal_2014_THAL,5EEWGGCZ,T,B,-15,38,5,south west of the Iberian Peninsula,PSAT,4,1,,2008; 2009; 2010,OCT; NOV,OCT; DEC,,OBS,,,,,,,
THAL,Albacore Tuna,5EEWGGCZ_Cosgrove_etal_2014_THAL,5EEWGGCZ,T,C,-20.5,47,5,south of the Hatton bank & east of the Mid-Atlantic Ridge,PSAT,2,1,,2011,SEP,NOV,,OBS,,,,,,,
THAL,Albacore Tuna,8SJHDXI6_Ortiz_de_Zarate_and_Rodriguez-Cabello_1996_THAL,8SJHDXI6,MR,A,-6,46,5,Bay of Biscay,Mark-Recapture,261,,2,1988; 1989; 1990; 1991; 1992; 1993,(UNK),(UNK),,FEE,,,,,,,
THAL,Albacore Tuna,8SJHDXI6_Ortiz_de_Zarate_and_Rodriguez-Cabello_1996_THAL,8SJHDXI6,MR,B,-20,46,10,West 10 degrees W to 30 degrees W,Mark-Recapture,43,,1,1988; 1989; 1990; 1991; 1992; 1993,(UNK),(UNK),,FEE,,,,,,,
THAL,Albacore Tuna,AS3UIFIQ_LAURS_and_LYNN_1977_THAL,AS3UIFIQ,MR,A,-139,34,10,"(30-35, -133 - -148)",Mark-Recapture tag (tag type unk),,,2,1972; 1973; 1974,(UNK),(UNK),,OBS,,,,,,,
THAL,Albacore Tuna,AS3UIFIQ_LAURS_and_LYNN_1977_THAL,AS3UIFIQ,MR,B,-130,32.5,5,Central Southern California waters long. -130,Mark-Recapture tag (tag type unk),,,1,1972; 1973; 1974,(UNK),(UNK),,OBS,,,,,,,
THAL,Albacore Tuna,AS3UIFIQ_LAURS_and_LYNN_1977_THAL,AS3UIFIQ,MR,C,-129.5,43,5,Pacific Northwest,Mark-Recapture tag (tag type unk),,,1,1972; 1973; 1974,(UNK),(UNK),,OBS,,,,,,,
THAL,Albacore Tuna,BZR9RISP_Ichinokawa_etal_2008_THAL,BZR9RISP,MR,A,160,30,10,Western Pacific,Mark-Recapture,,,,1971; 1972; 1973; 1974; 1975; 1976; 1977; 1978; 1979; 1980; 1981; 1982; 1983; 1984; 1985; 1986,(UNK),(UNK),,OBS,,,,,,,
THAL,Albacore Tuna,BZR9RISP_Ichinokawa_etal_2008_THAL,BZR9RISP,MR,B,-175,35,10,Central Pacific,Mark-Recapture,,,,1971; 1972; 1973; 1974; 1975; 1976; 1977; 1978; 1979; 1980; 1981; 1982; 1983; 1984; 1985; 1986,(UNK),(UNK),,OBS,,,,,,,
THAL,Albacore Tuna,BZR9RISP_Ichinokawa_etal_2008_THAL,BZR9RISP,MR,C,-138,45,10,North Eastern Pacific,Mark-Recapture,,,,1971; 1972; 1973; 1974; 1975; 1976; 1977; 1978; 1979; 1980; 1981; 1982; 1983; 1984; 1985; 1986,(UNK),(UNK),,OBS,,,,,,,
THAL,Albacore Tuna,BZR9RISP_Ichinokawa_etal_2008_THAL,BZR9RISP,MR,D,-128,20,10,South Eastern Pacific,Mark-Recapture,,,,1971; 1972; 1973; 1974; 1975; 1976; 1977; 1978; 1979; 1980; 1981; 1982; 1983; 1984; 1985; 1986,(UNK),(UNK),,OBS,,,,,,,
